2023-11-15 17:27:57.2538–TRACE–– Start Custom script schedule.
2023-11-15 17:27:57.2538–TRACE–- Currently on iteration : 0
2023-11-15 17:27:57.2538–TRACE–– Enter A-0 step.
2023-11-15 17:27:57.2538–TRACE–- Currently on A_1 initial iteration: 
2023-11-15 17:28:11.7519–TRACE–2023/11/15 17:28:11:7519| 0| COM88| S | CommandID     95| FA52020402
2023-11-15 17:28:11.7703–TRACE–2023/11/15 17:28:11:7703| 0| COM88| R | CommandID     95| FA020400890D0A
2023-11-15 17:28:11.7703–TRACE–2023/11/15 17:28:11:7745| 0| COM88| S | CommandID     96| FA52030402
2023-11-15 17:28:11.7986–TRACE–2023/11/15 17:28:11:7986| 0| COM88| R | CommandID     96| FA030400890D0A
2023-11-15 17:28:11.7986–TRACE–2023/11/15 17:28:11:8037| 0| COM88| S | CommandID     97| FA52010403
2023-11-15 17:28:11.8293–TRACE–2023/11/15 17:28:11:8293| 0| COM88| R | CommandID     97| FA01054155550D0A
2023-11-15 17:28:11.8293–TRACE–2023/11/15 17:28:11:8349| 0| COM88| S | CommandID     98| FA52020403
2023-11-15 17:28:11.8644–TRACE–2023/11/15 17:28:11:8643| 0| COM88| R | CommandID     98| FA02054359550D0A
2023-11-15 17:28:11.8822–TRACE–2023/11/15 17:28:11:8822| 0| COM88| S | CommandID     99| FA52030403
2023-11-15 17:28:11.9140–TRACE–2023/11/15 17:28:11:9139| 0| COM88| R | CommandID     99| FA03054555550D0A
2023-11-15 17:28:11.9212–TRACE–2023/11/15 17:28:11:9212| 0| COM88| S | CommandID    100| FA52010404
2023-11-15 17:28:11.9212–TRACE–2023/11/15 17:28:11:9338| 0| COM88| R | CommandID    100| FA01034B0D0A
2023-11-15 17:28:11.9430–TRACE–2023/11/15 17:28:11:9429| 0| COM88| S | CommandID    101| FA52020404
2023-11-15 17:28:11.9719–TRACE–2023/11/15 17:28:11:9719| 0| COM88| R | CommandID    101| FA02034B0D0A
2023-11-15 17:28:11.9719–TRACE–2023/11/15 17:28:11:9793| 0| COM88| S | CommandID    102| FA52030404
2023-11-15 17:28:12.0083–TRACE–2023/11/15 17:28:12:0083| 0| COM88| R | CommandID    102| FA03034B0D0A
2023-11-15 17:28:12.0083–TRACE–2023/11/15 17:28:12:0129| 0| COM88| S | CommandID    103| FA52010405
2023-11-15 17:28:12.0418–TRACE–2023/11/15 17:28:12:0418| 0| COM88| R | CommandID    103| FA01041E280D0A
2023-11-15 17:28:12.0498–TRACE–2023/11/15 17:28:12:0498| 0| COM88| S | CommandID    104| FA52020405
2023-11-15 17:28:12.0812–TRACE–2023/11/15 17:28:12:0812| 0| COM88| R | CommandID    104| FA02044F4F0D0A
